,header,datetime,text,label
584,Have we entered a new era of tech whistleblowing?,11-10-21 19:56,Frances Haugen's Facebook leaks and the new Silenced No More Act may help others to come forward.,technology
585,The real victims of mass crypto-hacks,26-08-21 6:21,Millions in Bitcoin and other digital coins are being stolen by hackers with victims left in limbo.,technology
587,McDonald's plant burger launch late to vegan party,09-09-21 19:46,"The chain announces its McPlant burger will be on offer nationwide next year, after years of research.",technology
588,BA settles claim by thousands hit by data breach,06-07-21 18:56,Thousands of people are to receive compensation over a 2018 data breach at British Airways.,technology
589,Alibaba slides on report of payment app breakup,13-09-21 15:20,Chinese regulators have been targeting Ant Group and other technology firms operating in the country.,technology
590,Genshin Impact earns $2 billion in its first year,30-09-21 14:02,"New data shows it is the third most profitable mobile game in the world, 12 months after its release.",technology
591,The rapid rise of robot boats,21-06-21 19:34,,technology
594,'Men guess what I'm wearing while gaming online',17-06-21 22:15,"Women share experiences of sexual harassment while gaming online, in a report submitted to MPs.",technology
595,Elizabeth Holmes: The boss accused of duping Silicon Valley,31-08-21 6:37,The former boss of blood testing company Theranos is accused of fraud and could face years in jail.,business
596,Patient data transfer still set to start in July,04-06-21 20:42,"The government is set to introduce the scheme, despite the NHS suggesting a delay until September.",technology
597,'The buck stops with Mark' - Facebook whistleblower,06-10-21 1:03,,technology
598,MP says online abusers are 'cowards and bullies',28-06-21 16:16,,technology
599,Gamers learn about nature through action game,13-07-21 18:28,"Players of a big-budget action-adventure game have a better knowledge of nature, researchers say.",technology
600,Click News: Lost keys? Robot finds missing items,08-10-21 18:03,,technology
601,Nato: Cyber attack 'as serious as military attack',15-06-21 6:16,,technology
602,Welsh government breached data laws over 300 times,04-09-21 13:22,"Cases include ""unauthorised disclosure"" of personal sensitive data including criminal allegations.",technology
603,Snapchat removes controversial speed filter,21-06-21 18:42,"Snap is being sued by the parents of two men, who allege the filter's ""negligent design"" caused deaths.",technology
605,2021 In Gaming (so far....),13-07-21 21:42,,technology
606,Apple continues privacy war on ad tracking,08-06-21 2:53,The tech giant will now provide updates showing when apps access a device's microphone and photos.,technology
607,Older Kindles may lose internet connection,29-07-21 19:27,Amazon tells customers older Kindles might lose their ability to connect online.,technology
608,Today at E3: Halo returns and Starfield first look,14-06-21 11:56,,technology
609,Black interns: 'You just need to give us a chance',06-09-21 6:01,"Young black university students are being invited to apply for 2,000 internships at top companies.",technology
610,Police 'assess' new Leigh Griffiths allegation,10-07-21 17:47,Officers have been alerted to claims the Celtic striker sent inappropriate messages to a second teenage girl.,technology
612,E-bike sales boom despite high prices and confusing rules,08-06-21 8:32,"Electric bike sales are soaring, despite high prices and confusing rules over their speed and power.",technology
613,The 'incredible' number of UK adults watching porn,11-06-21 17:51,"One porn creator says lockdown was a ""good time to start"" as there was high demand for content.",technology
614,Tech giant Alibaba to sack manager accused of rape,09-08-21 11:11,The move comes after a woman's allegations of sexual assault went viral on Chinese social media.,technology
615,US and UK agencies accuse Russia of cyber-campaign,01-07-21 23:43,The attackers targets include parliaments and political parties in a continuing operation.,technology
616,The plant with seeds that can grow meat,11-10-21 18:02,,technology
617,'I have to explain the monkey emoji to my kids',09-09-21 18:19,,technology
618,EU wants emergency team for cyber-attacks,23-06-21 19:30,"European Commission says recent ransomware attacks on US and Ireland have ""focussed mind""",technology
619,Germany probes Apple's market dominance,21-06-21 20:46,"Facebook, Amazon and Google have all faced similar scrutiny from the Federal Cartel Office.",technology
620,'Listen to feedback from your investors',06-10-21 6:09,The creator of the Rap Fame app explains how sharp criticism helped her grow the business,technology
621,Tired of working from home? Put the office on wheels,09-07-21 6:10,How digital nomads get state-of-the-art connectivity while working on the road,technology
622,Lithuania urges people to throw away Chinese phones,22-09-21 22:42,The country's National Cyber Security Centre found security risks in both Xiaomi and Huawei models.,technology
623,Dad to don 100th outfit after year of fancy dress,08-06-21 2:30,"Nick Jemetta has already raised £9,000 for mental health charities through his fancy dress costumes.",technology
624,Can esports be inclusive for people with disabilities?,03-07-21 7:14,,technology
625,Google search led to arrest of cleared campaigner,12-08-21 18:12,An innocent housing campaigner was suspected of hacking after sharing documents he found online.,technology
627,Keeping old computers going costs government £2.3bn,05-08-21 18:55,"Just under half the entire IT budget goes on patching up outdated systems, a government report says.",technology
628,Google fined €220m over France advertising abuse,07-06-21 20:49,Technology giant Google was fined by France's competition watchdog for abusing its market position.,technology
629,India Twitter official quits amid IT rules row,28-06-21 12:56,Tensions are growing between the government and Twitter over new digital media rules.,technology
630,Didi shares fall on reports of penalties in China,23-07-21 10:30,The ride-hailing giant's shares are now down by more than 25% since their New York market debut last month.,business
631,Facebook whistleblower headed to UK Parliament,11-10-21 17:30,Former Facebook employee Frances Haugen will appear before MPs looking into regulating big technology.,technology
632,How tech could help spot disasters before they happen,08-10-21 6:18,How technology could help the insurance industry spot potential disasters before they occur.,technology
633,"Researchers find Apple Pay, Visa contactless hack",30-09-21 7:37,An attacker could bypass the iPhone lock screen and make large payments above the contactless limit.,technology
635,Computer Space and beyond: 50 years of gaming,21-08-21 6:52,"From an arcade game to a multi-billion pound industry, the BBC charts the ups and downs of video games.",technology
637,Why Jesse Lingard thinks he'll be a great esports boss,13-09-21 7:04,The footballer believes his experiences on the pitch will translate to the online world.,technology
638,Online fraud now Isle of Man's most common crime,18-08-21 19:40,Police are stepping up efforts to target criminals amid a rise in online scams over the pandemic.,technology
639,How many people are deleting the Covid app?,16-07-21 22:48,Are people using the government's Covid app or are they deleting it?,technology
640,Schools hit by ransomware attack,03-08-21 23:30,"The schools federation said there were ""significant implications"" of the ransomware attack.",technology
641,TikTok star angers many with condom remarks,13-07-21 21:19,"Naim Darrechi, who has millions of fans, suggested he had deceived women to have unprotected sex.",technology
642,Online Safety Bill 'catastrophic for free speech',23-06-21 20:39,A new campaign claims it outsources internet policing to Silicon Valley.,technology
643,DeepMind uses AI to tackle deadly diseases,23-06-21 20:51,"The company’s technology maps out the shape of proteins, an otherwise costly and time-consuming process.",technology
644,Why phone scams are so difficult to tackle,23-08-21 6:13,"Phone fraud, both via calls and text messages, has soared during the pandemic.",technology
645,Doctors urge delay to England GP data scrape,07-06-21 23:54,GPs say more time is needed to warn patients about the transfer of their medical information to a database.,technology
647,WhatsApp issued second-largest GDPR fine,02-09-21 19:32,The Irish data watchdog has handed WhatsApp the second-highest ever GDPR fine.,technology
648,Why does the internet keep breaking?,12-10-21 6:00,Outages of Facebook and its family of apps now lead to significant disruption for firms worldwide,technology
649,What is Elon Musk's Starship?,07-08-21 17:58,Elon Musk's company SpaceX is building a vehicle that could transform space travel.,technology
650,'Virtual reality helps take away the pain',22-09-21 21:06,,technology
651,‘There were no avatars like me so we made a game’,06-07-21 18:02,,technology
652,Vodafone picks Samsung for 5G network,14-06-21 19:22,"South Korean firm's contract win called a market ""breakthrough"" by one analyst.",technology
653,Cuba tightens control of internet after protests,18-08-21 17:12,Critics say the new rules are aimed at stifling dissent following mass anti-government demonstrations.,technology
654,Dubai princesses' phone numbers 'on Pegasus list',22-07-21 3:27,Numbers used by Princesses Latifa and Haya are reportedly found in a database at the heart of the leaks.,technology
655,Unpicking Twitter boss's passion for Nigeria,28-06-21 6:16,The social media platform is banned but Jack Dorsey remains a hugely popular figure in the country.,technology
656,Click News: AI body scanner detects skin cancer,17-09-21 21:32,,technology
657,Billie Eilish opens up to Clara Amfo on internet trolls,31-07-21 18:57,,technology
658,'Zoom boom' sees more calls for cosmetic treatment,17-06-21 21:14,There has been a rise in enquiries since March for cosmetic work on the face and neck.,technology
659,Apple updates AirTags after stalking fears,04-06-21 19:57,Critics say the miniature trackers could be used to secretly monitor people's location.,technology
660,China linked to takeover of Italian drone plant,03-09-21 1:59,Six people are reported to prosecutors over the takeover which police say broke arms laws.,technology
662,Audio editor Audacity denies spyware accusation,06-07-21 18:17,"An update to the privacy policy of the free software, used by 100 million people, has caused alarm.",technology
665,Council algorithms mass-profile benefit claimants,20-07-21 10:09,"Most of the software is ""secret, unevidenced, invasive and likely discriminatory"", Big Brother Watch says.",technology
666,'Reviewing supercars gives me confidence',11-10-21 12:38,,technology
667,The Countdown: Tiffany trends and rivals show love,17-06-21 21:17,Tiffany Trump makes a slip-up at a gay pride event and two political rivals do something very unexpected.,technology
668,Fake Walmart news story boosts crypto price,13-09-21 23:28,"A news story claiming Walmart would accept cryptocurrency Litecoin was fabricated, the retail giant says.",technology
669,Facebook removes anti-vax influencer campaign,11-08-21 4:39,Facebook has removed hundreds of accounts linked to a anti-vaccine campaign operated from Russia.,technology
670,US Senate passes sweeping bill to counter China,09-06-21 21:18,The historic $250bn bill saw divided parties unite to compete with China's technological ambitions.,technology
671,Music company buys NFT of 'Side-eyeing Chloe' meme,25-09-21 11:52,The image of two-year-old Chloe Clem making a disapproving face was auctioned in cryptocurrency.,technology
672,YouTube to remove all anti-vaccine misinformation,30-09-21 4:21,"Videos saying vaccines cause autism, cancer or infertility are among those banned from the platform.",technology
673,Ryan Reynolds: Video games and the making of Free Guy,20-08-21 20:45,,technology
674,Duolingo to take on TikTok with maths,08-10-21 14:18,"Luis von Ahn boss of language-learning app Duolingo, talks about taking on TikTok with a maths app.",technology
675,Couple in their 80s find love online,03-07-21 13:54,,technology
676,Viewpoint: Why Twitter got it wrong in Nigeria,14-08-21 7:38,Complex issues have been raised about policing speech and censoring unpopular voices.,technology
677,Shock as teens reveal they're behind hit Covid site,30-09-21 6:07,,health
678,Ex-US intelligence officers admit hacking for UAE,15-09-21 20:24,The three men allegedly helped a UAE-based firm break into computers and phones around the world.,technology
680,AI-driven robot Mayflower begins Atlantic voyage,17-06-21 2:02,The Mayflower Autonomous Ship is collecting data after leaving Plymouth for the US.,technology
681,British man arrested in Spain over Twitter hack,21-07-21 23:27,"The 2020 attack on a series of celebrity accounts targeted Elon Musk and Barack Obama, among others.",technology
682,Should police post pictures of knives online?,03-10-21 13:23,,technology
683,Convertible 'flying car' takes to the sky,30-06-21 6:57,,technology
684,How did my phone number end up for sale?,11-07-21 6:14,"A journey of discovery into the somewhat opaque, if lucrative, world of contact selling",technology
685,Zuckerberg apologises for six-hour Facebook outage,06-10-21 2:11,"Billions of users were affected by the outage - which also took down Whatsapp, Messenger and Instagram.",technology
686,Firm fined £200k for making 11 million PPI calls,01-07-21 22:18,"The calls made by the Leeds-based company ""caused real distress"", the data watchdog says.",technology
687,Older people left 'lonely' due to digital divide,25-06-21 12:35,"Without internet access or devices, many have been unable to socialise during the pandemic.",technology
688,"Cryptoqueen: How this woman scammed the world, then ran",27-09-21 21:15,How did Ruja Ignatova make $4bn selling her fake cryptocurrency to the world - and where did she go?,technology
689,Broadband mast cables attacked four times,02-10-21 1:54,"The attacks have affected thousands of people in rural communities, says Broadband firm Airband.",technology
691,"Twitter algorithm prefers slimmer, younger faces",10-08-21 23:17,A Twitter-sponsored competition to discover bias in its image algorithm finds precisely that.,technology
692,Rushdie to serialise next book in email newsletter,02-09-21 23:08,The Booker Prize-winning author will serialise a new novella on the Substack newsletter publishing platform.,technology
693,Peer leaves government amid emails controversy,18-09-21 0:53,Lord Bethell is facing criticism for using personal accounts to conduct government business.,technology
694,Why even huge ships can't fix the shipping crisis,14-09-21 6:01,A shortage of vessels is hampering global trade and may lead to empty shelves before Christmas.,technology
695,Amazon and Google probed over fake 5-star reviews,25-06-21 16:38,UK competition watchdog begins formal probe into whether the internet giants have broken consumer law.,technology
697,EU to push for universal phone charger,23-09-21 18:57,Manufacturers could be forced to change devices to a uniform charging system.,technology
698,Openreach axes connection fees for low-income homes,07-09-21 21:39,The network provider will not charge firms for connecting unwaged universal credit claimants.,technology
699,The boy on a mission to replace missing hubcaps,04-06-21 23:58,Matthew has turned his love of cars into restoring hubcaps to give to drivers who are missing them.,technology
700,5G mast arsonist had severe mental health issues,01-10-21 18:53,"The fire at the BT mast in Gateshead caused £100,000 of damage, a court hears",technology
701,Will fingerprint data point Taliban to targets?,20-08-21 17:16,Campaigners worry fingerprint and iris scan data could by used by the Taliban to identify individuals.,technology
702,Man guilty of Bitcoin IS terrorism funding,06-07-21 20:08,Police say Hisham Chaudhary used Bitcoin to send money to free IS supporters from camps in Syria.,technology
703,Art helps dad heal after son's blood clot death,14-08-21 13:34,"Louis O'Neill, 24, died from deep vein thrombosis after spending ""a lot of time"" gaming, his father says.",technology
704,Instagram fame for laundry-modelling grandparents,25-06-21 15:56,A man's wish to stop his grandparents being bored leads to unexpected fame and new happiness.,technology
705,"Deathloop could be game of the year, critics say",16-09-21 3:11,"The action thriller, which takes place in a time loop, delights critics as it debuts on Playstation 5.",technology
707,"Meet Mr Goxx, the crypto-trading hamster",27-09-21 18:52,Can a hamster trading cryptocurrency beat human investors in the stock market? Mr Goxx can.,technology
708,Chrissy Teigen: I was a troll and I'm so sorry,15-06-21 5:11,It comes a month after Teigen apologised to TV personality Courtney Stodden for online bullying.,technology
709,One Fastly customer triggered internet meltdown,09-06-21 18:22,"The unnamed customer was not to blame but changing settings triggered a software bug, Fastly says.",technology
712,Children given daily time limit on China's TikTok,20-09-21 20:03,Douyin users aged under 14 will be limited to 40 minutes a day on the platform.,technology
713,Europe tools up against US and Asia as a car battery force,15-06-21 6:38,"As demand for electric cars grows, giant battery factories are being built across Europe.",technology
714,Blizzard Entertainment president steps down,03-08-21 23:13,"J Allen Brack quits the Call of Duty and Warcraft game-maker, amid staff protests and allegations of a sexist workplace culture.",technology
716,"Google gives security keys to 10,000 at-risk users",11-10-21 20:56,"It follows warnings to users targeted by state-sponsored hackers, and expanded two-step security.",technology
720,Shannon Singh: ‘People say I don't look Indian enough',29-08-21 7:05,,technology
721,AI narration of chef Bourdain's voice sparks row,16-07-21 20:33,A recreation of the late celebrity cook's voice is used in a film about his life.,technology
722,"Kabul drone strike a terrible mistake, says US",18-09-21 14:00,,technology
724,Extremists using video-game chats to spread hate,23-09-21 6:02,Campaigners say including extremist narratives among everyday conversations can be a pathway to radicalisation.,technology
726,The secret human stories behind emoji,18-08-21 6:05,The surprising story of how some tiny characters ended up on billions of smartphone keyboards.,technology
727,"OnlyFans must act on underage use, watchdog says",11-06-21 8:00,"England's children's commissioner writes to the firm to express her ""shock"" after a BBC investigation.",technology
728,'A cyber-attack disrupted my cancer treatment',05-09-21 12:48,"Almost four months after a ransomware attack on the Irish health service, disruption remains.",technology
729,Northern's new ticket machines hit by cyber attack,20-07-21 15:35,Northern rail's new self-service machines were installed at 420 stations two months ago.,technology
732,Coding error spotted in Tim Berners-Lee NFT sale,01-07-21 21:56,An error has been spotted in a video displaying the original source code for the world wide web.,technology
734,'Listen to feedback from your investors',06-10-21 6:08,,technology
736,British firm claims quantum-computing breakthrough,30-09-21 7:35,Two companies are hoping to move the quantum industry in two different directions.,technology
737,Game-studio boss steps down over Texas abortion law,07-09-21 18:57,"Tripwire boss John Gibson had said he was ""proud"" of the Supreme Court ruling on Texas abortion.",technology
738,Activision Blizzard loses Diablo 4 game director,12-08-21 20:35,"Three more high-profile leaders leave the gaming giant, including key staff on its latest Diablo game.",technology
739,Apple threatened Facebook ban over slavery posts,23-09-21 18:26,The media giant warned it would take Facebook products out of its App Store.,technology
741,Fortnite banned from Apple App Store indefinitely,23-09-21 22:37,The game won't be available on iPhones or other Apple devices until its legal battle with Epic Games ends.,technology
742,"Motorcycles can break iPhone cameras, Apple warns",13-09-21 19:02,"Camera performance can ""degrade"" if attached to high-volume, high-power motorbikes, Apple says.",technology
743,New technology 'could prevent airport drone chaos',15-09-21 20:52,"Scientists believe drone flight paths can be predicted, allowing airports to prepare for incursions.",technology
744,Twitter tests 'misleading' post report button,18-08-21 18:54,Many large social media firms have been accused of not doing enough to fight the spread of disinformation.,technology
745,Twitch blames server error for massive data leak,07-10-21 18:17,The livestreaming site says a mistake exposed its data to a malicious third party on the internet.,technology
746,Self-harm warning signs can appear decade earlier,15-06-21 6:24,"Even at age five, some children are more likely to self-harm than their classmates.",technology
748,How safe is TikTok?,07-08-21 13:11,,technology
749,The 'breakout' singer who's happy to be a mystery,25-08-21 20:51,PinkPantheress speaks to Radio 1 Newsbeat about her TikTok success and why you won't see her face on Insta.,technology
751,"More diversity helps innovation, tech firm says",27-09-21 20:50,"Increasing diversity helps challenges traditional approaches, a financial technology firm says.",technology
752,Tech Tent: Is the FBI winning the crime war?,11-06-21 18:06,Two separate victories for the authorities against criminals this week.,technology
753,Sun sets on Reddit Secret Santa,11-06-21 19:56,Users angry as site axes long-running gift swap which attracted celebrity participants.,technology
0,Haiti earthquake: The villages cut off from help,19-08-21 11:27,"The tremor razed their homes, but these survivors could still die for a lack of basic supplies.",science
1,Four ways climate change links to extreme weather,09-08-21 21:34,"Heatwaves, wildfires, floods and droughts highlight how extreme weather is linked to climate change.",science
2,Changing Planet,26-07-21 17:57,,science
3,Mill pond restoration to help breeding eels,24-06-21 21:40,The mill pond along the River Frome will have silt and debris removed.,science
4,People share stories behind their tree planting,30-06-21 16:14,,science
5,Europe flood victims face massive clean-up,18-07-21 19:35,Residents of the worst-affected areas struggle to recover from the devastation as flood waters recede.,science
6,New coal mine plans attacked at hearing,09-09-21 0:23,"One resident says it will ""pollute the environment"" and harm this ""beautiful place"".",science
7,Wind turbine factory closes permanently,08-09-21 20:25,"Owners CS Wind say there are ""no prospects of any recovery"" in the market for manufacturing wind towers.",science
8,Five eagles found dead in Western Isles,19-08-21 23:37,Three were discovered in Harris and two in Lewis but police do not believe the deaths are connected.,science
9,Canada battles more wildfires sparked by lightning,04-07-21 14:00,Military aircraft are mobilised as fires burn across British Columbia following a record-breaking heatwave.,science
10,'I'm just not ready to buy an electric car',13-08-21 6:17,Joe Biden wants half of all cars sold in the US to be zero emission by 2030 - but getting there won't be easy.,science
11,Leeds Light Night to illuminate spectators on climate change,03-09-21 19:42,,science
12,Will I still be able to fly in a net zero world?,20-08-21 22:21,A new study asks if lifestyle changes including an end to flying will be necessary to reach net zero?,science
13,Government to ban single-use plastic cutlery,28-08-21 14:56,"Plastic plates and polystyrene cups will also be banned in England in what ministers call a ""war on plastic"".",science
14,Why are investment firms buying farms to plant trees?,06-08-21 18:55,"Plans to encourage more tree-planting are under fire for ""destroying"" rural communities.",science
15,Rare bitterns breed for first time in 200 years,25-08-21 16:18,"A pair of bitterns, known as Britain's loudest birds, breed successfully at Lunt Meadows Wetland.",science
16,Recycled plastics dress highlights ocean pollution,18-07-21 14:29,Art student Melissa Sanders says she has designed the dress to represent imperilled seas.,science
17,Protesters blockade McDonald's burger factory,15-07-21 19:40,Animal Rebellion activists construct a giant Happy Meal box and bamboo towers at the gates.,science
18,EU postpones ban on British meat sales in NI,01-07-21 0:03,The proposed ban on items like fresh sausages was a consequence of the Northern Ireland Protocol.,science
19,Six owls sent back to wild after falling as babies,20-08-21 20:05,The tawny owls have been cared for at a rescue centre while developing their flight feathers.,science
20,Can the arts lead the green recovery from Covid?,10-07-21 6:37,"The pandemic has devastated the arts, but green shoots of recovery may be forming - in every sense.",science
21,Swimmer completes round-island challenge,24-08-21 18:52,Oly Rush swam 65 miles (105km) round the Isle of Wight in 15 hours and nine minutes.,science
22,Why North America's killer heat scares me,10-07-21 1:55,It's not the new record temperatures that concern the BBC's Roger Harrabin - it's the way they were smashed.,science
23,Disease killing 'Europe's oldest' elm tree,30-07-21 5:06,"Believed to almost 800 years old, the Beauly elm has been laser-scanned as part of work to document it.",science
24,Project to tackle River Mersey plastic litter,22-07-21 17:20,A two-year survey will analyse plastic waste in the river and aims to come up with ways to reduce it.,science
25,Branson takes off on space flight,11-07-21 22:22,,science
26,Fossil hunter statue 'on track' for May unveiling,28-07-21 23:42,Campaigners and Dorset Council aim to have the statue in place for Mary Anning's 222nd birthday.,science
27,Sausage dog gets stuck in wine rack,06-08-21 20:46,The dachshund in distress is cut free from a metal wine rack by firefighters.,science
28,UK already undergoing disruptive climate change,29-07-21 14:13,"Last year was the third warmest, fifth wettest and eighth sunniest on record in the UK, scientists warn.",science
29,New species of ancient four-legged whale found,26-08-21 21:11,"The three-metre whale was found in Egypt and has been named after Anubis, the ancient god of death.",science
30,Queen to attend COP26 climate conference in Glasgow,27-08-21 23:30,The monarch will join leaders including Pope Francis and US President Joe Biden at the UN event in November.,science
31,Dinosaur Dippy goes on display in cathedral nave,09-07-21 2:42,The model diplodocus has come to Norwich as part of a programme to inspire people about our world.,science
32,Planting trees will boost rainfall across Europe,05-07-21 22:10,"Converting agricultural land to forestry would boost summer rains by 7.6% on average, a study finds.",science
33,Major storm delays Hong Kong stock market trading,28-06-21 12:34,"It was the city's first ""black rainstorm"" warning of 2021 with rainfall of at least 70mm.",science
34,£12.5m for Cairngorms climate emergency projects,13-07-21 12:57,"The National Lottery award will help plant trees, restore peatland and improve sustainable transport.",science
35,Stress and fatigue 'key causes of farm accidents',16-07-21 19:35,"Researchers found ""lapses in situation awareness"" were a main contributory factor in agricultural accidents.",science
36,Plan to plant 35 million trees 'overly ambitious',03-07-21 18:16,Gloucestershire County Council admits it might not reach its target to plant the new trees by 2030.,science
37,Sprats return to the Clyde in huge numbers,06-08-21 20:09,"The return of the fish, a source of food for other species, signals an improvement in the Clyde ecosystem.",science
38,Pigs to be genetically engineered to fight disease,06-07-21 18:36,Researchers at Edinburgh's Roslin Institute aim to combat Porcine Reproductive and Respiratory Syndrome.,science
39,"We face climate extinction, at-risk nations say",10-08-21 0:11,The most vulnerable developing countries plead for action after a stark warning from a UN panel.,science
40,Severe flash floods sweep parts of London,26-07-21 0:24,Officials warn of hazardous travel conditions as heavy rainfall causes disruption in the capital.,science
41,Isle of Man elm tree felling plan approved,24-06-21 22:43,"A plan to fell 25 trees in St Marks is branded an ""absolute disgrace"" by naturalist Chris Packham.",science
42,Experts examine secrets of Orkney Viking burial site,23-07-21 0:06,Archaeologists say the graves may form part of a previously-unknown 10th Century cemetery.,science
43,What is Extinction Rebellion and what are its aims?,23-08-21 22:50,Extinction Rebellion is planning two weeks of protest across London.,science
45,The fungus and bacteria tackling plastic waste,30-07-21 6:05,"Bacteria, fungus and enzymes can all digest plastic, but can they work at a useful commercial scale?",science
46,Drone footage shows flood damage in Germany and Belgium,17-07-21 2:27,,science
47,Green bin collections suspended due to staff isolation,21-07-21 21:27,,science
48,Hottest day of the year so far in Scotland,23-07-21 3:07,"Temperatures have soared across the country, including a 29.3C hot spot at Threave, near Castle Douglas.",science
49,UK government's 'toothless policies' fail nature,30-06-21 6:50,MPs say that the government's plans for nature are wholly insufficient to stem the losses of plants and species.,science
50,Climate change minister used to ski to school,04-08-21 20:24,,science
51,New green jobs will help 'transform' power network,23-08-21 19:53,"The 135 roles will help ensure the ""rapid uptake"" of low-carbon technology, SP Energy Networks says.",science
52,EU 'confident' about chilled meat ban solution,29-06-21 0:55,Chief EU Brexit negotiator Maroš Šefčovič tells a Stormont committee a solution can be found by Thursday.,science
53,Tourists warned as toxic algae found at lake,27-08-21 19:50,The lake in Bala is the third to have blue-green algae found in it since May.,science
54,What is climate change?,09-08-21 20:28,,science
55,Sharma: We need all countries to commit to net zero,09-08-21 18:43,,science
56,Council sorry for halting garden waste collections,02-09-21 22:06,"The authority says it cannot resume collections due to a ""national shortage of drivers"".",science
57,Tusk reveals mammoth's massive lifetime mileage,13-08-21 4:18,Scientists analyse the chemistry in a woolly mammoth tusk to work out how far it travelled.,science
58,Rathlin Island project tackles predator problem,21-10-21 22:02,,science
59,Tech Tent: What future for humanoid robots?,02-07-21 16:46,"Production of the Pepper robot has been suspended, raising questions about other human-like bots.",science
61,Pooches' paintings up for auction,08-08-21 14:03,The dogs created their paintings by licking peanut butter from the top of the canvas.,science
62,Dragonflies spread north in warming world - report,07-09-21 15:36,"The expansion of dragonflies across Britain and Ireland is an indicator of climate change, say experts.",science
63,Minister was filmed before fatal Arctic accident,08-09-21 19:33,,science
64,Thunberg calls out climate toll of fashion brands,09-08-21 22:40,"Many companies are only pretending to care about the climate, the activist tells Vogue Scandinavia.",science
65,Massive earthquake kills 304 in Haiti,15-08-21 6:00,At least 304 people are killed and more than 1800 injured by the powerful earthquake.,science
66,Pair complete UK's longest straight-line challenge,01-09-21 12:16,"Calum Maclean and Jenny Graham climbed mountains, scrambled down gullies and tackled steep rocky crags on the route.",science
67,Sewing Bee judge to showcase homespun jeans,26-06-21 17:25,"Patrick Grant will display locally-made clothes in Blackburn ""for the first time in a couple of centuries"".",science
68,UK minister 'eager' for Cambo oil field talks,16-08-21 12:17,The UK's Scotland Office minister David Duguid says he wants to learn more about development of the site off Shetland.,science
69,Breeding seabird numbers drop by almost half,03-09-21 18:40,A new study by NatureScot looked at 11 species of breeding birds in Scotland over the last 35 years.,science
70,'It's 30 degrees and we're welding - unbearable',22-07-21 2:19,,science
71,Bid to protect Rathlin birds from rats and ferrets,21-10-21 12:48,The RSPB says 25 species of birds on the island are at risk partly due to the invasive predators.,science
72,A really simple guide to climate change,09-08-21 18:41,BBC News looks at what we know and don't know about the Earth's changing climate.,science
73,Former pilot cultivates new online plant business,02-08-21 23:23,BA pilot Nathan Raab switched to selling plants after being made redundant during the pandemic.,science
74,Huge explosion as Azerbaijan mud volcano erupts,05-07-21 21:08,The explosion sent plumes of black smoke and flames into the sky in an oil and gas field.,science
75,Climate change making Ireland warmer and wetter,12-08-21 21:44,The Status of Ireland Climate 2020 report also shows that sea levels around the coast are rising.,science
76,Man 'beat seagull to death' on beach,19-07-21 17:51,Police are appealing for witnesses after the alleged attack at Porthgwidden Beach in Cornwall.,science
77,Farmers give produce away amid picker shortage,01-09-21 23:48,Producers fear crops will be left to rot as they struggle to attract workers to harvest them.,science
78,How to make eco-clothes with trees,19-07-21 17:28,,science
79,Dispute over ‘woody debris’ flood report findings,02-07-21 1:20,,science
80,Pen Farthing team 'turned away' from Kabul airport,27-08-21 19:07,"Defence Secretary Ben Wallace says supporters of an animal charity have ""taken up too much time"".",science
81,"Quarry expansion plan terrifying, residents say",28-06-21 19:22,"Proposals for a third ""super-quarry"" in Somerset are submitted, sparking concerns from locals.",science
82,Hundreds of dead sea animals wash up in Sri Lanka,02-07-21 14:27,"Turtles, dolphins and whales are among the sea life that have died since the X-Press Pearl sank.",science
83,Alpaca must be put down to protect cows - minister,08-08-21 9:15,"Putting animals down is soul-destroying but necessary to stop bovine TB, the environment secretary says.",science
84,'Safe green space' garden marks 175th birthday,10-07-21 14:35,"The garden is home to 8,000 species and has been a haven for many during lockdown.",science
85,National park launches £100m drive to boost nature,05-07-21 17:29,South Downs National Park is hoping to transform more areas into habitats for plants and animals.,science
86,Welsh technology to help US shipwreck clean-up,12-08-21 12:44,About a million gallons of contaminated mud needs to be treated from the remains of the ship.,science
87,Climate action is still hotly contested in Australia,28-06-21 6:08,Climate change has ended political careers in Australia and action over it remains widely debated.,science
88,Timber shortage due to unprecedented demand,04-08-21 19:12,Prices are rising sharply as climate change and post-lockdown DIY and building projects hit supplies.,science
89,Isle of Man bans sky lanterns and helium balloons,12-08-21 19:29,Environmentalists say the move will be a positive step towards better protecting the Manx countryside.,science
90,Severe flooding hits eastern Belgium,16-07-21 1:18,,science
92,Timeline for city's zero emission zone set,09-09-21 19:10,Non-zero emission vehicles using the zones in the city centre will be subject to charges.,science
93,New York subways flooded by heavy rain,09-07-21 23:06,,science
94,'Sea levels set to rise for centuries',09-08-21 22:06,,science
95,'Persistent heavy rain' in two-day weather warning,26-06-21 18:07,Flood and travel warning as the Met Office issues a be aware rain warning from Sunday afternoon.,science
96,Storm Ida kills dozens across US north-east,03-09-21 11:20,"President Biden calls for ""historic investment"" to tackle the climate crisis as the US reels from the storm.",science
97,Glasgow TK Maxx flooded by torrential rain,10-08-21 19:14,,science
98,Jeff Bezos launches to space aboard rocket ship,21-07-21 0:00,The world's richest man and three other passengers return safely just over 10 minutes after launch.,science
99,Farmer loses final legal bid to save alpaca's life,29-07-21 23:52,Geronimo twice tested positive for bovine TB but his owner refused a government order to cull him.,science
